Identificador,Tipo_de_subasta,Cuenta_expediente,Fecha_de_inicio,Fecha_de_conclusión,Cantidad_reclamda,Lotes,Anuncio_BOE,Valor_subasta,Tasación,Puja_mínima,Tramos_entre_pujas,Importe_del_depósito,id,Juzgado,Localidad
SUB-JA-2022-203377,JUDICIAL EN VÍA DE APREMIO,0528 0000 06 0657 17,15-11-2022,05-12-2022,"167.853,60 ",Sin lotes,BOE-B-2022-35022,"78.725,00 ","0,00 ",Sin puja mínima,"1.574,50 ","3.936,25 ",115,JUZGADO 1ª INSTANCIA 5 , badalona
SUB-JA-2022-203441,JUDICIAL EN VÍA DE APREMIO,4536 0000 05 1055 21,15-11-2022,05-12-2022,"115.200,00 ",Sin lotes,BOE-B-2022-35086,"115.200,00 ","115.200,00 ","100,00 €","2.304,00 ","5.760,00 ",116,JUZGADO 1ª INST E INSTRUCC. 2 , quart de poblet
SUB-JV-2022-204170,JUDICIAL VOLUNTARIA,9000 4598 A3 0291 21,15-11-2022,05-12-2022,"0,00 ",Sin lotes,BOE-B-2022-35124,"579.262,65 ","827.518,07 ","405.483,85 €","23.175,00 ","28.963,13 ",117,ORGA,oficina de recuperacion y gestion de activos - madrid
SUB-JA-2022-203411,JUDICIAL EN VÍA DE APREMIO,4513 0000 03 0382 18,15-11-2022,05-12-2022,"170.488,35 ",Sin lotes,BOE-B-2022-35135,"132.750,00 ","0,00 ",Sin puja mínima,Sin tramos,"6.637,50 ",120,SERVICIO COMUN GENERAL SUBASTAS , valencia
SUB-JA-2022-201253,JUDICIAL EN VÍA DE APREMIO,2394 0000 06 0148 21,15-11-2022,05-12-2022,"103.280,26 ",Sin lotes,BOE-B-2022-35058,"162.100,00 ","0,00 ",Sin puja mínima,"3.242,00 ","8.105,00 ",121,JUZGADO 1ª INST E INSTRUCC. 5 , leganes
SUB-JA-2022-201271,JUDICIAL EN VÍA DE APREMIO,3809 0000 05 0066 20,15-11-2022,05-12-2022,"163.350,00 ",Sin lotes,BOE-B-2022-35098,"163.350,00 ","163.350,00 ",Sin puja mínima,"3.267,00 ","8.167,50 ",122,JUZGADO 1ª INSTANCIA 4 , santa cruz de tenerife
SUB-JV-2022-203705,JUDICIAL VOLUNTARIA,1166 0000 04 0954 17,15-11-2022,05-12-2022,"0,00 ",Sin lotes,BOE-B-2022-35122,"45.922,00 ","0,00 ","27.553,20 €","2.000,00 ","2.296,10 ",123,JUZGADO 1ª INSTANCIA 18 , zaragoza
SUB-JA-2021-185516,JUDICIAL EN VÍA DE APREMIO,5065 0000 06 3932 21,15-11-2022,05-12-2022,"86.847,80 ",Sin lotes,BOE-B-2022-35113,"165.000,00 ","165.000,00 ",Sin puja mínima,Sin tramos,"8.250,00 ",126,JUZGADO 1ª INST E INSTRUCC. 5 , tortosa
SUB-JA-2022-202995,JUDICIAL EN VÍA DE APREMIO,3944 0000 06 0015 21,15-11-2022,05-12-2022,"118.196,00 ",Sin lotes,BOE-B-2022-35054,"100.104,50 ","0,00 ",Sin puja mínima,"2.002,09 ","5.005,22 ",127,JUZGADO 1ª INST E INSTRUCC. 4 , huesca
SUB-JA-2022-204306,JUDICIAL EN VÍA DE APREMIO,1381 0000 64 0024 21,15-11-2022,05-12-2022,"46.147,16 ",Sin lotes,BOE-B-2022-35125,"168.540,00 ","168.540,00 ",Sin puja mínima,Sin tramos,"8.427,00 ",128,JUZGADO SOCIAL 1 , ciudad real
SUB-JA-2022-195058,JUDICIAL EN VÍA DE APREMIO,1293 0000 06 0332 15,15-11-2022,05-12-2022,"168.285,28 ",Sin lotes,BOE-B-2022-35030,"195.800,00 ","0,00 ",Sin puja mínima,"3.916,00 ","9.790,00 ",129,JUZGADO 1ª INST E INSTRUCC. 2 , coin
SUB-JA-2022-202691,JUDICIAL EN VÍA DE APREMIO,3544 0000 06 0246 21,15-11-2022,05-12-2022,"83.086,46 ",Sin lotes,BOE-B-2022-35057,"118.925,00 ","0,00 ",Sin puja mínima,"2.378,50 ","5.946,25 ",130,JUZGADO 1ª INSTANCIA 11 , las palmas de gran canaria
SUB-JA-2022-194623,JUDICIAL EN VÍA DE APREMIO,5150 0000 06 0580 18,15-11-2022,05-12-2022,"175.091,55 ",Sin lotes,BOE-B-2022-35033,"268.710,00 ","0,00 ",Sin puja mínima,"5.374,20 ","13.435,50 ",132,JUZGADO 1ª INSTANCIA 9 , cordoba
SUB-JA-2022-201838,JUDICIAL EN VÍA DE APREMIO,0865 0000 06 0343 16,15-11-2022,05-12-2022,"196.267,16 ",Sin lotes,BOE-B-2022-35108,"206.915,96 ","0,00 ",Sin puja mínima,"4.138,32 ","10.345,80 ",133,JUZGADO 1ª INSTANCIA 1 , terrassa
SUB-JA-2022-199101,JUDICIAL EN VÍA DE APREMIO,0847 0000 06 0801 17,15-11-2022,05-12-2022,"16.987,12 ",Sin lotes,BOE-B-2022-35096,"85.000,00 ","0,00 ",Sin puja mínima,"1.700,00 ","4.250,00 ",134,JUZGADO 1ª INST E INSTRUCC. 4 , sant feliu de llobregat
SUB-JA-2022-194052,JUDICIAL EN VÍA DE APREMIO,2460 0000 18 0100 15,15-11-2022,05-12-2022,"78.553,82 ",Sin lotes,BOE-B-2022-35067,"199.337,83 ","0,00 ",Sin puja mínima,Sin tramos,"9.966,89 ",135,JUZGADO 1ª INSTANCIA 32 , madrid
SUB-JA-2022-194058,JUDICIAL EN VÍA DE APREMIO,0820 0000 05 0126 11,15-11-2022,05-12-2022,"142.148,15 ",Sin lotes,BOE-B-2022-35090,"273.505,33 ","0,00 ",Sin puja mínima,"5.470,10 ","13.675,26 ",136,JUZGADO 1ª INSTANCIA 6 , sabadell
SUB-JA-2022-194158,JUDICIAL EN VÍA DE APREMIO,2193 0000 06 0315 20,15-11-2022,05-12-2022,"67.903,88 ",Sin lotes,BOE-B-2022-35063,"138.591,00 ","0,00 ",Sin puja mínima,"2.771,82 ","6.929,55 ",137,JUZGADO 1ª INSTANCIA 3 , lleida
SUB-JA-2022-194465,JUDICIAL EN VÍA DE APREMIO,5256 0000 05 0053 20,15-11-2022,05-12-2022,"124.935,88 ",Sin lotes,BOE-B-2022-35110,"180.128,94 ","0,00 ",Sin puja mínima,"3.602,57 ","9.006,44 ",138,JUZGADO 1 INST E INSTRUCC. 7 , torrelavega
SUB-JA-2022-194623,JUDICIAL EN VÍA DE APREMIO,5150 0000 06 0580 18,15-11-2022,05-12-2022,"175.091,55 ",Sin lotes,BOE-B-2022-35033,"268.710,00 ","0,00 ",Sin puja mínima,"5.374,20 ","13.435,50 ",139,JUZGADO 1ª INSTANCIA 9 , cordoba
SUB-JA-2022-195058,JUDICIAL EN VÍA DE APREMIO,1293 0000 06 0332 15,15-11-2022,05-12-2022,"168.285,28 ",Sin lotes,BOE-B-2022-35030,"195.800,00 ","0,00 ",Sin puja mínima,"3.916,00 ","9.790,00 ",140,JUZGADO 1ª INST E INSTRUCC. 2 , coin
SUB-JA-2022-196110,JUDICIAL EN VÍA DE APREMIO,5066 0000 06 0054 21,15-11-2022,05-12-2022,"216.234,81 ",Sin lotes,BOE-B-2022-35069,"291.450,00 ","0,00 ",Sin puja mínima,"5.829,00 ","14.572,50 ",142,JUZGADO 1ª INSTANCIA 100 , madrid
SUB-JA-2022-196692,JUDICIAL EN VÍA DE APREMIO,1283 0000 05 0597 19,15-11-2022,05-12-2022,"97.778,80 ",Sin lotes,BOE-B-2022-35092,"218.685,00 ","0,00 ",Sin puja mínima,"4.373,70 ","10.934,25 ",143,JUZGADO 1ª INST E INSTRUCC. 1 , san fernando
SUB-JA-2021-175907,JUDICIAL EN VÍA DE APREMIO,3734 0000 05 0925 19,15-11-2022,05-12-2022,"45.054,33 ",Sin lotes,BOE-B-2022-35064,"120.410,00 ","0,00 ",Sin puja mínima,"2.408,20 ","6.020,50 ",144,JUZGADO 1ª INST E INSTRUCC. 6 , lliria
SUB-JA-2022-198326,JUDICIAL EN VÍA DE APREMIO,4902 0000 05 0271 19,15-11-2022,05-12-2022,"1.860,00 ",Sin lotes,BOE-B-2022-35120,"77.947,28 ","77.947,28 ",Sin puja mínima,"1.558,94 ","3.897,36 ",145,JUZGADO 1ª INSTANCIA 3 , zaragoza
SUB-JA-2022-199101,JUDICIAL EN VÍA DE APREMIO,0847 0000 06 0801 17,15-11-2022,05-12-2022,"16.987,12 ",Sin lotes,BOE-B-2022-35096,"85.000,00 ","0,00 ",Sin puja mínima,"1.700,00 ","4.250,00 ",146,JUZGADO 1ª INST E INSTRUCC. 4 , sant feliu de llobregat
SUB-JA-2022-199127,JUDICIAL EN VÍA DE APREMIO,0878 0000 06 0506 15,15-11-2022,05-12-2022,"262.127,20 ",Sin lotes,BOE-B-2022-35085,"286.500,00 ","0,00 ",Sin puja mínima,"5.730,00 ","14.325,00 ",147,JUZGADO 1ª INST E INSTRUCC. 3 , prat llobregat
SUB-JA-2022-203630,JUDICIAL EN VÍA DE APREMIO,4147 0000 06 0060 22,11-11-2022,01-12-2022,"87.148,05 ",Sin lotes,BOE-B-2022-34715,"255.888,00 ","0,00 ",Sin puja mínima,"5.117,76 ","12.794,40 ",149,JUZGADO 1ª INSTANCIA 16 , las palmas de gran canaria
SUB-JA-2022-203619,JUDICIAL EN VÍA DE APREMIO,0183 0000 06 0779 18,11-11-2022,01-12-2022,"77.541,84 ",Sin lotes,BOE-B-2022-34730,"144.525,00 ","0,00 ",Sin puja mínima,"2.890,50 ","7.226,25 ",150,JUZGADO 1ª INSTANCIA 2 , orihuela
SUB-JA-2022-203595,JUDICIAL EN VÍA DE APREMIO,0726 0000 05 0044 20,11-11-2022,01-12-2022,"8.491,89 ",Sin lotes,BOE-B-2022-34704,"88.452,39 ","160.310,00 ",Sin puja mínima,"1.769,04 ","4.422,61 ",151,JUZGADO 1ª INST E INSTRUCC. 1 , gava
SUB-JA-2022-200067,JUDICIAL EN VÍA DE APREMIO,4308 0000 05 0203 16,11-11-2022,01-12-2022,"154.261,59 ",Sin lotes,BOE-B-2022-34742,"139.574,34 ","0,00 ","10,00 €","2.791,48 ","6.978,71 ",152,JUZGADO 1ª INST E INSTRUCC. 2 , talavera de la reina
SUB-JA-2022-203572,JUDICIAL EN VÍA DE APREMIO,2373 0000 05 0201 20,11-11-2022,01-12-2022,"214.604,08 ",Sin lotes,BOE-B-2022-34703,"299.447,84 ","0,00 ",Sin puja mínima,"5.988,95 ","14.972,39 ",153,JUZGADO 1ª INSTANCIA 1 , fuenlabrada
SUB-JA-2022-197175,JUDICIAL EN VÍA DE APREMIO,2384 0000 05 0017 19,11-11-2022,01-12-2022,"309.860,36 ",Sin lotes,BOE-B-2022-34706,"332.000,00 ","0,00 ",Sin puja mínima,"6.640,00 ","16.600,00 ",154,JUZGADO 1ª INST E INSTRUCC. 5 , getafe
SUB-JA-2022-203523,JUDICIAL EN VÍA DE APREMIO,2712 0000 05 0280 21,11-11-2022,01-12-2022,"30.988,45 ",Sin lotes,BOE-B-2022-34723,"86.016,00 ","86.016,00 ",Sin puja mínima,"1.720,32 ","4.300,80 ",155,JUZGADO 1ª INSTANCIA 4 , lugo
SUB-JA-2022-203510,JUDICIAL EN VÍA DE APREMIO,3029 0000 06 0661 21,11-11-2022,01-12-2022,"109.266,70 ",Sin lotes,BOE-B-2022-34725,"161.071,28 ","0,00 ",Sin puja mínima,"3.221,42 ","8.053,56 ",156,JUZGADO 1ª INSTANCIA 13 , malaga
SUB-JA-2020-162095,JUDICIAL EN VÍA DE APREMIO,4536 0000 05 0652 19,11-11-2022,01-12-2022,"24.896,16 ",Sin lotes,BOE-B-2022-34733,"65.000,00 ","0,00 ","100,00 €","1.300,00 ","3.250,00 ",157,JUZGADO 1ª INST E INSTRUCC. 2 , quart de poblet
SUB-JA-2022-203212,JUDICIAL EN VÍA DE APREMIO,0511 0000 05 0605 13,11-11-2022,01-12-2022,"221.151,87 ",Sin lotes,BOE-B-2022-34688,"367.000,00 ","367.000,00 ","256.900,00 €",Sin tramos,"18.350,00 ",158,JUZGADO 1ª INST E INSTRUCC. 2 , arenys mar
SUB-JA-2022-200790,JUDICIAL EN VÍA DE APREMIO,1429 0000 00 0204 20,11-11-2022,01-12-2022,"122.499,33 ",Sin lotes,BOE-B-2022-34697,"173.340,09 ","0,00 ",Sin puja mínima,Sin tramos,"8.667,00 ",159,JUZGADO 1ª INSTANCIA 7 , cordoba
SUB-JA-2022-200737,JUDICIAL EN VÍA DE APREMIO,4690 0000 05 0834 21,11-11-2022,01-12-2022,"48.776,37 ",Sin lotes,BOE-B-2022-34692,"175.460,00 ","0,00 ",Sin puja mínima,Sin tramos,"8.773,00 ",160,JUZGADO 1ª INSTANCIA 4 , barakaldo
SUB-JA-2022-203457,JUDICIAL EN VÍA DE APREMIO,2199 0000 05 0054 20,11-11-2022,01-12-2022,"33.352,36 ",Sin lotes,BOE-B-2022-34719,"79.500,00 ","0,00 ",Sin puja mínima,"1.590,00 ","3.975,00 ",162,JUZGADO 1ª INSTANCIA 5 , lleida
SUB-JA-2022-188375,JUDICIAL EN VÍA DE APREMIO,2766 0000 05 0159 16,11-11-2022,01-12-2022,"34.494,05 ",Sin lotes,BOE-B-2022-34727,"62.162,00 ","0,00 ",Sin puja mínima,Sin tramos,"3.108,10 ",163,JUZGADO 1ª INST E INSTRUCC. 6 , manresa
SUB-JA-2022-197345,JUDICIAL EN VÍA DE APREMIO,3986 0000 06 0382 14,11-11-2022,01-12-2022,"227.078,40 ",Sin lotes,BOE-B-2022-34716,"409.260,00 ","0,00 ",Sin puja mínima,"8.185,20 ","20.463,00 ",164,JUZGADO 1ª INST E INSTRUCC. 8 , leganes
SUB-JA-2022-199513,JUDICIAL EN VÍA DE APREMIO,4118 0000 06 0518 16,11-11-2022,01-12-2022,"130.303,48 ",Sin lotes,BOE-B-2022-34680,"127.877,79 ","0,00 ",Sin puja mínima,"2.557,55 ","6.393,88 ",165,JUZGADO 1ª INST E INSTRUCC. 3 , alcala de guadaira
SUB-JA-2022-203425,JUDICIAL EN VÍA DE APREMIO,4859 0000 06 0670 20,11-11-2022,01-12-2022,"101.133,00 ",Sin lotes,BOE-B-2022-34698,"139.056,77 ","0,00 ",Sin puja mínima,"2.781,13 ","6.952,83 ",166,JUZGADO 1ª INSTANCIA 5 , denia
SUB-JA-2022-188481,JUDICIAL EN VÍA DE APREMIO,3981 0000 06 0424 17,11-11-2022,01-12-2022,"109.224,22 ",Sin lotes,BOE-B-2022-34728,"174.916,99 ","0,00 ",Sin puja mínima,"3.498,33 ","8.745,84 ",169,JUZGADO 1ª INST E INSTRUCC. 2 , marchena
SUB-JV-2022-203734,JUDICIAL VOLUNTARIA,0390 0000 05 0081 20,11-11-2022,01-12-2022,"0,00 ",Sin lotes,BOE-B-2022-34756,"48.341,26 ","48.341,26 ","39.156,42 €","966,82 ","14.502,37 ",171,JUZGADO 1ª INST E INSTRUCC. 2 , zafra
SUB-JA-2022-199489,JUDICIAL EN VÍA DE APREMIO,3728 3117 06 0134 20,11-11-2022,01-12-2022,"58.704,38 ",Sin lotes,BOE-B-2022-34762,"92.265,84 ","0,00 ",Sin puja mínima,"1.845,33 ","4.613,29 ",172,UNIDAD SUBASTAS JUDICIALES MURCIA , murcia
SUB-JA-2022-202907,JUDICIAL EN VÍA DE APREMIO,4673 0000 06 0241 14,11-11-2022,01-12-2022,"160.487,76 ",Sin lotes,BOE-B-2022-34694,"152.556,25 ","152.556,25 ",Sin puja mínima,Sin tramos,"7.627,81 ",173,JUZGADO 1ª INSTANCIA 4 , burgos
SUB-JA-2022-198163,JUDICIAL EN VÍA DE APREMIO,1213 0000 05 0120 95,11-11-2022,01-12-2022,"107.165,20 ",Sin lotes,BOE-B-2022-34681,"20.393,25 ","0,00 ",Sin puja mínima,"407,86 ","1.019,66 ",174,JUZGADO 1ª INSTANCIA 4 , algeciras
SUB-JA-2022-202208,JUDICIAL EN VÍA DE APREMIO,4956 0000 06 1537 21,11-11-2022,01-12-2022,"116.690,18 ",Sin lotes,BOE-B-2022-34709,"230.400,00 ","0,00 ",Sin puja mínima,"4.608,00 ","11.520,00 ",175,JUZGADO 1ª INSTANCIA 17 , granada
SUB-JA-2022-202075,JUDICIAL EN VÍA DE APREMIO,4528 0000 06 0530 21,11-11-2022,01-12-2022,"83.948,80 ",Sin lotes,BOE-B-2022-34695,"25.550,25 ","0,00 ",Sin puja mínima,"511,00 ","1.277,51 ",176,JUZGADO 1ª INST E INSTRUCC. 2 , catarroja
SUB-JA-2022-202570,JUDICIAL EN VÍA DE APREMIO,1739 0000 06 1410 18,11-11-2022,01-12-2022,"66.190,26 ",Sin lotes,BOE-B-2022-34710,"78.504,00 ","78.504,00 ",Sin puja mínima,Sin tramos,"3.925,20 ",177,JUZGADO 1ª INSTANCIA 7 , granada
SUB-JA-2022-202240,JUDICIAL EN VÍA DE APREMIO,0224 0000 06 0516 20,11-11-2022,01-12-2022,"51.015,40 ",Sin lotes,BOE-B-2022-34683,"83.944,60 ","0,00 ",Sin puja mínima,Sin tramos,"4.197,23 ",178,JUZGADO 1ª INSTANCIA 2 , almeria
SUB-JA-2022-195106,JUDICIAL EN VÍA DE APREMIO,1913 0000 05 0041 10,11-11-2022,01-12-2022,"18.261,73 ",Sin lotes,BOE-B-2022-34714,"52.775,39 ","0,00 ",Sin puja mínima,"1.055,50 ","2.638,76 ",179,JUZGADO 1ª INSTANCIA 3 , huelva
SUB-JA-2022-201884,JUDICIAL EN VÍA DE APREMIO,3728 3075 06 0012 15,11-11-2022,01-12-2022,"115.346,94 ",Sin lotes,BOE-B-2022-34765,"237.500,00 ","0,00 ",Sin puja mínima,"2.375,01 ","11.875,00 ",181,UNIDAD SUBASTAS JUDICIALES MURCIA , murcia
SUB-JA-2022-202354,JUDICIAL EN VÍA DE APREMIO,1674 0000 06 0346 17,11-11-2022,01-12-2022,"144.671,71 ",Sin lotes,BOE-B-2022-34708,"159.700,00 ","0,00 ",Sin puja mínima,Sin tramos,"7.985,00 ",182,JUZGADO 1ª INSTANCIA 2 , girona
SUB-JA-2022-201726,JUDICIAL EN VÍA DE APREMIO,3519 0000 06 0140 15,11-11-2022,01-12-2022,"137.727,80 ",Sin lotes,BOE-B-2022-34737,"284.944,00 ","0,00 ",Sin puja mínima,"5.698,88 ","14.247,20 ",183,JUZGADO 1ª INSTANCIA 1 , san bartolome de tirajana
SUB-JA-2022-201399,JUDICIAL EN VÍA DE APREMIO,1939 0000 06 0247 12,11-11-2022,01-12-2022,"134.975,93 ",Sin lotes,BOE-B-2022-34731,"242.465,84 ","242.465,84 ",Sin puja mínima,"4.849,31 ","12.123,29 ",184,JUZGADO 1ª INST E INSTRUCC. 1 , palma condado
SUB-JA-2022-201319,JUDICIAL EN VÍA DE APREMIO,1635 0000 05 0063 18,11-11-2022,01-12-2022,"17.277,99 ",Sin lotes,BOE-B-2022-34743,"56.850,00 ","0,00 ",Sin puja mínima,"1.137,00 ","2.842,50 ",185,JUZGADO 1ª INST E INSTRUCC. 1 , tarancon
SUB-JA-2022-201196,JUDICIAL EN VÍA DE APREMIO,2358 0000 06 0494 17,11-11-2022,01-12-2022,"489.957,33 ",Sin lotes,BOE-B-2022-34702,"953.100,00 ","953.100,00 ",Sin puja mínima,Sin tramos,"47.655,00 ",186,JUZGADO 1ª INST E INSTRUCC. 7 , el vendrell
SUB-JA-2022-203906,JUDICIAL EN VÍA DE APREMIO,1777 0000 06 0424 20,11-11-2022,01-12-2022,"183.101,56 ",Sin lotes,BOE-B-2022-34729,"450.500,00 ","0,00 ",Sin puja mínima,"9.010,00 ","22.525,00 ",188,JUZGADO 1ª INSTANCIA 1 , orihuela
SUB-JA-2022-200022,JUDICIAL EN VÍA DE APREMIO,3013 0000 06 0748 21,11-11-2022,01-12-2022,"67.915,27 ",Sin lotes,BOE-B-2022-34752,"102.404,00 ","0,00 ",Sin puja mínima,"2.048,08 ","5.120,20 ",189,JUZGADO 1ª INST E INSTRUCC. 3 , velez-malaga
SUB-JA-2022-203861,JUDICIAL EN VÍA DE APREMIO,4224 0000 05 1259 21,11-11-2022,01-12-2022,"365.370,60 ",Sin lotes,BOE-B-2022-34748,"848.214,00 ","848.214,00 ",Sin puja mínima,Sin tramos,"42.410,70 ",190,JUZGADO 1ª INST E INSTRUCC. 2 , tortosa
SUB-JA-2022-203847,JUDICIAL EN VÍA DE APREMIO,4351 0000 06 0022 22,11-11-2022,01-12-2022,"57.154,29 ",Sin lotes,BOE-B-2022-34721,"84.456,00 ","0,00 ",Sin puja mínima,"1.689,12 ","4.222,80 ",191,JUZGADO 1ª INST E INSTRUCC. 4 , lliria
SUB-JA-2022-199789,JUDICIAL EN VÍA DE APREMIO,0240 0000 06 0901 17,11-11-2022,01-12-2022,"100.818,08 ",Sin lotes,BOE-B-2022-34700,"200.000,00 ","0,00 ",Sin puja mínima,"4.000,00 ","10.000,00 ",192,JUZGADO 1ª INST E INSTRUCC. 2 , ejido(el)
SUB-JA-2022-203824,JUDICIAL EN VÍA DE APREMIO,2933 0000 06 0171 17,11-11-2022,01-12-2022,"140.328,81 ",Sin lotes,BOE-B-2022-34726,"273.024,00 ","0,00 ",Sin puja mínima,"5.460,48 ","13.651,20 ",193,JUZGADO 1ª INSTANCIA 1 , malaga
SUB-JA-2022-188928,JUDICIAL EN VÍA DE APREMIO,5403 0000 06 0653 21,11-11-2022,01-12-2022,"189.242,31 ",Sin lotes,BOE-B-2022-34739,"226.596,06 ","0,00 ",Sin puja mínima,"4.531,92 ","11.329,80 ",194,JUZGADO 1 INST E INSTRUCC. 5 , sanlucar mayor
SUB-JA-2022-203774,JUDICIAL EN VÍA DE APREMIO,2813 0000 06 0196 20,11-11-2022,01-12-2022,"57.709,87 ",Sin lotes,BOE-B-2022-34690,"74.451,38 ","74.451,38 ",Sin puja mínima,"1.489,02 ","3.722,56 ",195,JUZGADO 1ª INST E INSTRUCC. 6 , aviles
SUB-JA-2021-185987,JUDICIAL EN VÍA DE APREMIO,0257 0000 05 0038 03,11-11-2022,01-12-2022,"2.252,95 ",Sin lotes,BOE-B-2022-34734,"12.104,17 ","0,00 ",Sin puja mínima,"242,08 ","605,20 ",196,JUZGADO 1ª INST E INSTRUCC. 1 , roquetas de mar
SUB-JA-2022-203744,JUDICIAL EN VÍA DE APREMIO,2845 0000 05 0167 11,11-11-2022,01-12-2022,"153.279,31 ",Sin lotes,BOE-B-2022-34750,"264.792,00 ","0,00 ",Sin puja mínima,"5.295,84 ","13.239,60 ",197,JUZGADO 1ª INST E INSTRUCC. 1 , valdemoro
SUB-JA-2022-203173,JUDICIAL EN VÍA DE APREMIO,3751 0000 05 0181 21,11-11-2022,01-12-2022,"47.727,63 ",Sin lotes,BOE-B-2022-34738,"96.600,00 ","0,00 ",Sin puja mínima,"1.932,00 ","4.830,00 ",198,JUZGADO 1ª INSTANCIA 3 , san cristobal de la laguna
SUB-JA-2022-203719,JUDICIAL EN VÍA DE APREMIO,3118 0000 06 0304 22,11-11-2022,01-12-2022,"45.716,62 ",Sin lotes,BOE-B-2022-34747,"119.040,00 ","119.040,00 ",Sin puja mínima,"2.380,80 ","5.952,00 ",199,JUZGADO 1ª INSTANCIA 2 , torremolinos
SUB-JA-2022-203708,JUDICIAL EN VÍA DE APREMIO,3728 4938 06 0413 21,11-11-2022,01-12-2022,"89.330,16 ",Sin lotes,BOE-B-2022-34764,"230.400,00 ","0,00 ",Sin puja mínima,"2.304,01 ","11.520,00 ",200,UNIDAD SUBASTAS JUDICIALES MURCIA , murcia
SUB-JA-2022-203677,JUDICIAL EN VÍA DE APREMIO,2068 0000 06 0274 20,11-11-2022,01-12-2022,"26.319,05 ",Sin lotes,BOE-B-2022-34718,"39.450,00 ","0,00 ",Sin puja mínima,"789,00 ","1.972,50 ",201,JUZGADO 1ª INST E INSTRUCC. 4 , linares
SUB-JA-2022-203675,JUDICIAL EN VÍA DE APREMIO,3577 0000 06 1234 21,11-11-2022,01-12-2022,"95.313,02 ",Sin lotes,BOE-B-2022-34735,"167.040,00 ","0,00 ",Sin puja mínima,"3.340,80 ","8.352,00 ",202,JUZGADO 1ª INST E INSTRUCC. 4 , roquetas de mar
SUB-JA-2022-199446,JUDICIAL EN VÍA DE APREMIO,3706 0000 06 0253 16,11-11-2022,01-12-2022,"187.899,13 ",Sin lotes,BOE-B-2022-34736,"237.008,03 ","0,00 ",Sin puja mínima,Sin tramos,"11.850,40 ",203,JUZGADO 1ª INSTANCIA 6 , salamanca
SUB-JA-2022-192221,JUDICIAL EN VÍA DE APREMIO,0062 0000 06 0255 11,11-11-2022,01-12-2022,"29.183,52 ",Sin lotes,BOE-B-2022-34713,"72.795,84 ","0,00 ",Sin puja mínima,Sin tramos,"3.639,79 ",204,JUZGADO 1ª INST E INSTRUCC. 2 , hellin
SUB-JA-2022-199663,JUDICIAL EN VÍA DE APREMIO,4513 0000 25 0267 18,11-11-2022,01-12-2022,"129.431,27 ",Sin lotes,BOE-B-2022-34766,"231.445,00 ","0,00 ",Sin puja mínima,Sin tramos,"11.572,25 ",205,SERVICIO COMUN GENERAL SUBASTAS , valencia
SUB-JA-2022-203796,JUDICIAL EN VÍA DE APREMIO,2234 0000 06 0283 20,10-11-2022,30-11-2022,"94.753,22 ",Sin lotes,BOE-B-2022-34549,"136.175,00 ","136.175,00 ",Sin puja mínima,"1.500,00 ","6.808,75 ",206,JUZGADO 1ª INSTANCIA 12 , valladolid
SUB-JA-2022-201754,JUDICIAL EN VÍA DE APREMIO,1352 0000 06 0624 14,10-11-2022,30-11-2022,"116.464,23 ",Sin lotes,BOE-B-2022-34553,"182.802,00 ","0,00 ",Sin puja mínima,"3.656,04 ","9.140,10 ",210,JUZGADO 1ª INST E INSTRUCC. 1 , vinaros
SUB-JA-2022-203350,JUDICIAL EN VÍA DE APREMIO,4513 0000 15 0539 18,10-11-2022,30-11-2022,"1.055,83 ",Sin lotes,BOE-B-2022-34565,"88.450,94 ","88.450,94 ",Sin puja mínima,Sin tramos,"4.422,55 ",211,SERVICIO COMUN GENERAL SUBASTAS , valencia
SUB-JA-2022-203659,JUDICIAL EN VÍA DE APREMIO,4513 0000 16 0055 21,10-11-2022,30-11-2022,"133.839,39 ",Sin lotes,BOE-B-2022-34564,"132.002,27 ","0,00 ",Sin puja mínima,Sin tramos,"6.600,11 ",212,SERVICIO COMUN GENERAL SUBASTAS , valencia
SUB-JA-2022-203158,JUDICIAL EN VÍA DE APREMIO,2988 0000 06 0482 21,10-11-2022,30-11-2022,"7.337,01 ",Sin lotes,BOE-B-2022-34555,"31.553,14 ","0,00 ",Sin puja mínima,"631,06 ","1.577,65 ",216,JUZGADO 1ª INSTANCIA 19 , zaragoza
SUB-JA-2022-203156,JUDICIAL EN VÍA DE APREMIO,0183 0000 06 1501 20,10-11-2022,30-11-2022,"35.093,46 ",Sin lotes,BOE-B-2022-34529,"58.165,95 ","0,00 ",Sin puja mínima,"1.163,31 ","2.908,29 ",217,JUZGADO 1ª INSTANCIA 2 , orihuela
SUB-JA-2022-192639,JUDICIAL EN VÍA DE APREMIO,2959 0000 06 1497 20,10-11-2022,30-11-2022,"72.404,88 ",Sin lotes,BOE-B-2022-34525,"152.249,50 ","0,00 ",Sin puja mínima,"3.044,99 ","7.612,47 ",218,JUZGADO 1ª INSTANCIA 8 , malaga
SUB-JV-2022-203480,JUDICIAL VOLUNTARIA,4680 0000 05 0810 20,10-11-2022,30-11-2022,"0,00 ",Sin lotes,BOE-B-2022-34500,"66.165,15 ","0,00 ",Sin puja mínima,Sin tramos,"3.308,25 ",219,JUZGADO 1ª INSTANCIA 1 , barakaldo
