Identificador,Tipo_de_subasta,Cuenta_expediente,Fecha_de_inicio,Fecha_de_conclusión,Cantidad_reclamda,Lotes,Anuncio_BOE,Valor_subasta,Tasación,Puja_mínima,Tramos_entre_pujas,Importe_del_depósito,id,Juzgado,Localidad
SUB-JA-2022-204190,JUDICIAL EN VÍA DE APREMIO,1994 0000 05 0024 14,17-11-2022,07-12-2022,"36.598,85 ",Sin lotes,BOE-B-2022-35267,"116.198,89 ","0,00 ",Sin puja mínima,"2.323,97 ","5.809,94 ",25,JUZGADO 1ª INST E INSTRUCC. 1 , monzon
SUB-JA-2022-203828,JUDICIAL EN VÍA DE APREMIO,5375 0000 06 0489 20,17-11-2022,07-12-2022,"206.099,56 ",Sin lotes,BOE-B-2022-35278,"370.674,13 ","0,00 ",Sin puja mínima,"7.413,48 ","18.533,70 ",26,JUZGADO 1 INST E INSTRUCC. 4 , santa fe
SUB-JA-2022-195366,JUDICIAL EN VÍA DE APREMIO,0098 0000 06 1384 14,17-11-2022,07-12-2022,"202.150,80 ",Sin lotes,BOE-B-2022-35227,"202.150,80 ","202.150,82 ",Sin puja mínima,"4.043,01 ","10.107,54 ",28,JUZGADO 1ª INSTANCIA 2 , alicante/alacant
SUB-JA-2022-200948,JUDICIAL EN VÍA DE APREMIO,3560 0000 06 0072 21,17-11-2022,07-12-2022,"28.624,51 ",Sin lotes,BOE-B-2022-35238,"75.000,00 ","0,00 ",Sin puja mínima,"1.500,00 ","3.750,00 ",29,JUZGADO 1ª INST E INSTRUCC. 1 , caldas de reis
SUB-JA-2022-201298,JUDICIAL EN VÍA DE APREMIO,3491 0000 05 0552 05,17-11-2022,07-12-2022,"23.332,51 ",Sin lotes,BOE-B-2022-35255,"26.087,45 ","0,00 ",Sin puja mínima,"521,74 ","1.304,37 ",30,JUZGADO 1ª INSTANCIA 8 , las palmas de gran canaria
SUB-JA-2020-160362,JUDICIAL EN VÍA DE APREMIO,2028 0000 06 0625 13,17-11-2022,07-12-2022,"96.471,59 ",Sin lotes,BOE-B-2022-35239,"119.070,00 ","119.070,00 ","83.349,00 €","2.381,40 ","5.953,50 ",31,JUZGADO 1ª INST E INSTRUCC. 1 , carolina
SUB-JA-2022-203383,JUDICIAL EN VÍA DE APREMIO,5418 0000 06 0169 21,17-11-2022,07-12-2022,"34.853,65 ",Sin lotes,BOE-B-2022-35253,"121.684,00 ","121.684,00 ","45.978,65 €","2.433,68 ","6.084,20 ",33,JUZGADO 1ª INSTANCIA 17 , las palmas de gran canaria
SUB-JA-2022-202111,JUDICIAL EN VÍA DE APREMIO,2460 0000 18 0043 21,17-11-2022,07-12-2022,"105.622,00 ",Sin lotes,BOE-B-2022-35262,"243.750,00 ","0,00 ",Sin puja mínima,Sin tramos,"12.187,50 ",34,JUZGADO 1ª INSTANCIA 32 , madrid
SUB-JA-2022-204180,JUDICIAL EN VÍA DE APREMIO,4355 0000 06 0781 21,17-11-2022,07-12-2022,"23.194,53 ",Sin lotes,BOE-B-2022-35233,"205.457,84 ","0,00 ",Sin puja mínima,"4.109,15 ","10.272,89 ",35,JUZGADO 1ª INST E INSTRUCC. 2 , alzira
SUB-JA-2021-183890,JUDICIAL EN VÍA DE APREMIO,3522 0000 06 0167 19,17-11-2022,07-12-2022,"38.203,33 ",Sin lotes,BOE-B-2022-35274,"73.889,87 ","0,00 ",Sin puja mínima,"1.477,80 ","3.694,49 ",37,JUZGADO 1ª INSTANCIA 4 , san bartolome de tirajana
SUB-JA-2022-203758,JUDICIAL EN VÍA DE APREMIO,1654 0000 06 1252 21,17-11-2022,07-12-2022,"166.428,04 ",Sin lotes,BOE-B-2022-35237,"207.000,44 ","0,00 ","103.500,22 €","4.140,00 ","10.350,02 ",39,JUZGADO 1ª INST E INSTRUCC. 3 , bisbal
