Municipios;Periodo;Total
28065 Getafe;2015;9,9
28065 Getafe;2014;10,7
33024 Gijón;2020;-10,4
33024 Gijón;2019;-0,2
33024 Gijón;2018;-0,2
33024 Gijón;2017;-1,9
33024 Gijón;2016;-3,9
33024 Gijón;2015;-3,2
33024 Gijón;2014;-5,3
19130 Guadalajara;2020;-4,8
19130 Guadalajara;2019;18,6
19130 Guadalajara;2018;11,3
19130 Guadalajara;2017;9,1
19130 Guadalajara;2016;6,1
19130 Guadalajara;2015;2,9
19130 Guadalajara;2014;-3,9
08101 Hospitalet de Llobregat, L';2020;-17,7
08101 Hospitalet de Llobregat, L';2019;16,7
08101 Hospitalet de Llobregat, L';2018;14,7
08101 Hospitalet de Llobregat, L';2017;14,3
08101 Hospitalet de Llobregat, L';2016;9,9
08101 Hospitalet de Llobregat, L';2015;10,4
08101 Hospitalet de Llobregat, L';2014;-5,3
21041 Huelva;2020;-9,1
21041 Huelva;2019;1,2
21041 Huelva;2018;-4,1
21041 Huelva;2017;-5,9
21041 Huelva;2016;-2,4
21041 Huelva;2015;-5,8
21041 Huelva;2014;-6,1
22125 Huesca;2020;-9,8
22125 Huesca;2019;15,4
22125 Huesca;2018;12,7
22125 Huesca;2017;4,6
22125 Huesca;2016;-1,1
22125 Huesca;2015;0,8
22125 Huesca;2014;-6,0
23050 Jaén;2020;-7,3
23050 Jaén;2019;-2,1
23050 Jaén;2018;-4,0
23050 Jaén;2017;-6,9
23050 Jaén;2016;-3,7
23050 Jaén;2015;-6,4
23050 Jaén;2014;-3,8
28074 Leganés;2020;-17,7
28074 Leganés;2019;6,6
28074 Leganés;2018;7,6
28074 Leganés;2017;3,7
28074 Leganés;2016;2,9
28074 Leganés;2015;1,4
28074 Leganés;2014;1,1
24089 León;2020;-16,1
24089 León;2019;-2,2
24089 León;2018;-3,8
24089 León;2017;-4,4
24089 León;2016;-7,0
24089 León;2015;-12,8
24089 León;2014;-13,5
25120 Lleida;2020;-2,3
25120 Lleida;2019;10,4
25120 Lleida;2018;7,9
25120 Lleida;2017;3,8
25120 Lleida;2016;-5,9
25120 Lleida;2015;-2,9
25120 Lleida;2014;-4,6
26089 Logroño;2020;-11,1
26089 Logroño;2019;8,9
26089 Logroño;2018;0,2
26089 Logroño;2017;0,9
26089 Logroño;2016;0,7
26089 Logroño;2015;-3,1
26089 Logroño;2014;-4,1
27028 Lugo;2020;-9,2
27028 Lugo;2019;2,5
27028 Lugo;2018;2,6
27028 Lugo;2017;0,3
27028 Lugo;2016;-2,8
27028 Lugo;2015;1,4
27028 Lugo;2014;-4,3
28079 Madrid;2020;-8,8
28079 Madrid;2019;20,8
28079 Madrid;2018;13,2
28079 Madrid;2017;12,6
28079 Madrid;2016;5,5
28079 Madrid;2015;7,5
28079 Madrid;2014;-7,4
29067 Málaga;2020;-1,8
29067 Málaga;2019;6,6
29067 Málaga;2018;6,3
29067 Málaga;2017;3,6
29067 Málaga;2016;-0,0
29067 Málaga;2015;-0,2
29067 Málaga;2014;3,9
29069 Marbella;2020;2,2
29069 Marbella;2019;29,2
29069 Marbella;2018;13,5
29069 Marbella;2017;2,1
29069 Marbella;2016;3,0
29069 Marbella;2015;8,6
29069 Marbella;2014;6,2
06083 Mérida;2020;-2,1
06083 Mérida;2019;3,6
06083 Mérida;2018;-0,3
06083 Mérida;2017;2,8
06083 Mérida;2016;0,2
06083 Mérida;2015;3,4
06083 Mérida;2014;-0,2
29070 Mijas;2020;15,6
29070 Mijas;2019;31,6
29070 Mijas;2018;25,9
29070 Mijas;2017;44,1
29070 Mijas;2016;-8,0
29070 Mijas;2015;-21,8
29070 Mijas;2014;25,0
28092 Móstoles;2020;-3,2
28092 Móstoles;2019;5,4
28092 Móstoles;2018;10,0
28092 Móstoles;2017;2,4
28092 Móstoles;2016;4,7
28092 Móstoles;2015;-3,2
28092 Móstoles;2014;2,7
30030 Murcia;2020;2,1
30030 Murcia;2019;13,5
30030 Murcia;2018;13,5
30030 Murcia;2017;8,8
30030 Murcia;2016;5,1
30030 Murcia;2015;2,5
30030 Murcia;2014;0,4
33044 Oviedo;2020;-10,8
33044 Oviedo;2019;1,0
33044 Oviedo;2018;-1,5
33044 Oviedo;2017;-1,3
33044 Oviedo;2016;-1,2
33044 Oviedo;2015;-5,9
33044 Oviedo;2014;-8,5
34120 Palencia;2020;-13,6
34120 Palencia;2019;-3,4
34120 Palencia;2018;-2,8
34120 Palencia;2017;-3,3
34120 Palencia;2016;-3,1
34120 Palencia;2015;-5,8
34120 Palencia;2014;-7,3
31201 Pamplona/Iruña;2020;-4,2
31201 Pamplona/Iruña;2019;11,3
31201 Pamplona/Iruña;2018;12,9
31201 Pamplona/Iruña;2017;9,7
31201 Pamplona/Iruña;2016;7,6
31201 Pamplona/Iruña;2015;-1,0
31201 Pamplona/Iruña;2014;-1,6
28106 Parla;2020;-13,5
28106 Parla;2019;25,5
28106 Parla;2018;14,5
28106 Parla;2017;18,6
28106 Parla;2016;9,9
28106 Parla;2015;-3,2
28106 Parla;2014;-2,1
36038 Pontevedra;2020;-1,8
36038 Pontevedra;2019;2,8
36038 Pontevedra;2018;2,7
36038 Pontevedra;2017;1,6
36038 Pontevedra;2016;1,5
36038 Pontevedra;2015;0,1
36038 Pontevedra;2014;-4,9
28115 Pozuelo de Alarcón;2020;-0,4
28115 Pozuelo de Alarcón;2019;8,6
28115 Pozuelo de Alarcón;2018;2,9
28115 Pozuelo de Alarcón;2017;6,6
28115 Pozuelo de Alarcón;2016;7,2
28115 Pozuelo de Alarcón;2015;5,1
28115 Pozuelo de Alarcón;2014;2,3
08169 Prat de Llobregat, El;2020;2,2
08169 Prat de Llobregat, El;2019;12,1
08169 Prat de Llobregat, El;2018;7,3
08169 Prat de Llobregat, El;2017;3,7
08169 Prat de Llobregat, El;2016;6,9
08169 Prat de Llobregat, El;2015;7,0
08169 Prat de Llobregat, El;2014;2,4
11027 Puerto de Santa María, El;2020;4,0
11027 Puerto de Santa María, El;2019;3,4
11027 Puerto de Santa María, El;2018;0,5
11027 Puerto de Santa María, El;2017;-0,7
11027 Puerto de Santa María, El;2016;2,8
11027 Puerto de Santa María, El;2015;-1,7
11027 Puerto de Santa María, El;2014;-4,1
43123 Reus;2020;-0,8
43123 Reus;2019;17,1
43123 Reus;2018;8,6
43123 Reus;2017;3,4
43123 Reus;2016;-4,8
43123 Reus;2015;4,1
43123 Reus;2014;-17,0
08187 Sabadell;2020;-1,5
08187 Sabadell;2019;13,4
08187 Sabadell;2018;9,0
08187 Sabadell;2017;8,6
08187 Sabadell;2016;8,1
08187 Sabadell;2015;2,1
08187 Sabadell;2014;1,8
37274 Salamanca;2020;-10,8
37274 Salamanca;2019;4,1
37274 Salamanca;2018;1,7
37274 Salamanca;2017;-3,2
37274 Salamanca;2016;-3,5
37274 Salamanca;2015;-10,2
37274 Salamanca;2014;-10,9
11031 San Fernando;2020;-1,4
11031 San Fernando;2019;0,2
11031 San Fernando;2018;-2,1
11031 San Fernando;2017;-4,9
11031 San Fernando;2016;-3,2
11031 San Fernando;2015;-1,9
11031 San Fernando;2014;-2,1
39075 Santander;2020;-6,7
39075 Santander;2019;4,8
39075 Santander;2018;2,9
39075 Santander;2017;0,5
39075 Santander;2016;-4,1
39075 Santander;2015;-7,5
39075 Santander;2014;-10,2
15078 Santiago de Compostela;2020;0,1
15078 Santiago de Compostela;2019;6,0
15078 Santiago de Compostela;2018;8,8
15078 Santiago de Compostela;2017;-0,5
15078 Santiago de Compostela;2016;5,1
15078 Santiago de Compostela;2015;3,7
15078 Santiago de Compostela;2014;-2,0
40194 Segovia;2020;-15,5
40194 Segovia;2019;7,4
40194 Segovia;2018;-0,2
40194 Segovia;2017;-1,4
40194 Segovia;2016;-9,6
40194 Segovia;2015;-9,0
40194 Segovia;2014;-10,0
41091 Sevilla;2020;-10,4
41091 Sevilla;2019;4,1
41091 Sevilla;2018;-0,2
41091 Sevilla;2017;-1,0
41091 Sevilla;2016;-1,6
41091 Sevilla;2015;-4,8
41091 Sevilla;2014;-4,0
42173 Soria;2020;-3,2
