Provincias,Periodo,Total,ciudades2_id,comunidad_autonoma
 Castellón/Castelló,2020,585.590,8,valencia
 Castellón/Castelló,2019,579.962,8,valencia
 Castellón/Castelló,2018,576.898,8,valencia
 Castellón/Castelló,2017,575.470,8,valencia
 Castellón/Castelló,2016,579.245,8,valencia
 Castellón/Castelló,2015,582.327,8,valencia
 Castellón/Castelló,2014,587.508,8,valencia
 Ciudad Real,2021,492.591,6,CastillalaMancha
 Ciudad Real,2020,495.045,6,CastillalaMancha
 Ciudad Real,2019,495.761,6,CastillalaMancha
 Ciudad Real,2018,499.100,6,CastillalaMancha
 Ciudad Real,2017,502.578,6,CastillalaMancha
 Ciudad Real,2016,506.888,6,CastillalaMancha
 Ciudad Real,2015,513.713,6,CastillalaMancha
 Ciudad Real,2014,519.613,6,CastillalaMancha
 Córdoba,2021,776.789,1,Andalucia
 Córdoba,2020,781.451,1,Andalucia
 Córdoba,2019,782.979,1,Andalucia
 Córdoba,2018,785.240,1,Andalucia
 Córdoba,2017,788.219,1,Andalucia
 Córdoba,2016,791.610,1,Andalucia
 Córdoba,2015,795.611,1,Andalucia
 Córdoba,2014,799.402,1,Andalucia
" Coruña, A",2021,1.120.134,10,galicia
" Coruña, A",2020,1.121.815,10,galicia
" Coruña, A",2019,1.119.596,10,galicia
" Coruña, A",2018,1.119.351,10,galicia
" Coruña, A",2017,1.120.294,10,galicia
" Coruña, A",2016,1.122.799,10,galicia
" Coruña, A",2015,1.127.196,10,galicia
" Coruña, A",2014,1.132.735,10,galicia
 Cuenca,2021,195.516,6,CastillalaMancha
 Cuenca,2020,196.139,6,CastillalaMancha
 Cuenca,2019,196.329,6,CastillalaMancha
 Cuenca,2018,197.222,6,CastillalaMancha
 Cuenca,2017,198.718,6,CastillalaMancha
 Cuenca,2016,201.071,6,CastillalaMancha
 Cuenca,2015,203.841,6,CastillalaMancha
 Cuenca,2014,207.449,6,CastillalaMancha
 Gipuzkoa,2021,726.033,13,PaisVasco
 Gipuzkoa,2020,727.121,13,PaisVasco
 Gipuzkoa,2019,723.576,13,PaisVasco
 Gipuzkoa,2018,720.592,13,PaisVasco
 Gipuzkoa,2017,719.282,13,PaisVasco
 Gipuzkoa,2016,717.832,13,PaisVasco
 Gipuzkoa,2015,716.834,13,PaisVasco
 Gipuzkoa,2014,715.148,13,PaisVasco
 Girona,2021,786.596,7,cataluña
 Girona,2020,781.788,7,cataluña
 Girona,2019,771.044,7,cataluña
 Girona,2018,761.947,7,cataluña
 Girona,2017,755.716,7,cataluña
 Girona,2016,753.576,7,cataluña
 Girona,2015,753.054,7,cataluña
 Girona,2014,756.156,7,cataluña
 Granada,2021,921.338,1,Andalucia
 Granada,2020,919.168,1,Andalucia
 Granada,2019,914.678,1,Andalucia
 Granada,2018,912.075,1,Andalucia
 Granada,2017,912.938,1,Andalucia
 Granada,2016,915.392,1,Andalucia
 Granada,2015,917.297,1,Andalucia
 Granada,2014,919.455,1,Andalucia
 Guadalajara,2021,265.588,6,CastillalaMancha
 Guadalajara,2020,261.995,6,CastillalaMancha
 Guadalajara,2019,257.762,6,CastillalaMancha
 Guadalajara,2018,254.308,6,CastillalaMancha
 Guadalajara,2017,253.310,6,CastillalaMancha
 Guadalajara,2016,252.882,6,CastillalaMancha
 Guadalajara,2015,253.686,6,CastillalaMancha
 Guadalajara,2014,255.426,6,CastillalaMancha
 Huelva,2021,525.835,1,Andalucia
 Huelva,2020,524.278,1,Andalucia
 Huelva,2019,521.870,1,Andalucia
 Huelva,2018,519.932,1,Andalucia
 Huelva,2017,518.930,1,Andalucia
 Huelva,2016,519.596,1,Andalucia
 Huelva,2015,520.017,1,Andalucia
 Huelva,2014,519.229,1,Andalucia
 Huesca,2021,224.264,2,Aragon
 Huesca,2020,222.687,2,Aragon
 Huesca,2019,220.461,2,Aragon
 Huesca,2018,219.345,2,Aragon
 Huesca,2017,219.702,2,Aragon
 Huesca,2016,221.079,2,Aragon
 Huesca,2015,222.909,2,Aragon
 Huesca,2014,224.909,2,Aragon
 Jaén,2021,627.190,1,Andalucia
 Jaén,2020,631.381,1,Andalucia
 Jaén,2019,633.564,1,Andalucia
 Jaén,2018,638.099,1,Andalucia
 Jaén,2017,643.484,1,Andalucia
 Jaén,2016,648.250,1,Andalucia
 Jaén,2015,654.170,1,Andalucia
 Jaén,2014,659.033,1,Andalucia
 León,2021,451.706,5,Castillayleon
 León,2020,456.439,5,Castillayleon
 León,2019,460.001,5,Castillayleon
 León,2018,463.746,5,Castillayleon
 León,2017,468.316,5,Castillayleon
 León,2016,473.604,5,Castillayleon
 León,2015,479.395,5,Castillayleon
 León,2014,484.694,5,Castillayleon
 Lleida,2021,439.727,7,cataluña
 Lleida,2020,438.517,7,cataluña
 Lleida,2019,434.930,7,cataluña
 Lleida,2018,432.866,7,cataluña
 Lleida,2017,432.384,7,cataluña
 Lleida,2016,434.041,7,cataluña
 Lleida,2015,436.029,7,cataluña
